Job_Role,Skills
Data Scientist,"Python SQL Machine Learning Data Analysis Statistics Pandas NumPy Scikit-learn"
Machine Learning Engineer,"Python Machine Learning Deep Learning TensorFlow PyTorch Data Science"
AI Engineer,"Python Artificial Intelligence Machine Learning NLP Computer Vision TensorFlow"
Backend Developer,"Java Spring Boot SQL REST API MySQL Git"
Frontend Developer,"HTML CSS JavaScript React Bootstrap Tailwind"
Full Stack Developer,"HTML CSS JavaScript React Node.js Express MongoDB SQL"
Android Developer,"Java Kotlin Android Studio Firebase XML"
DevOps Engineer,"Linux Docker Kubernetes AWS Jenkins CI/CD Git"
Cloud Engineer,"AWS Azure Google Cloud Docker Linux Networking"
Cyber Security Analyst,"Networking Linux Ethical Hacking Kali Linux Python Security"
Data Analyst,"Excel SQL Power BI Tableau Python Statistics"
Software Engineer,"Java Python C++ Git Data Structures Algorithms OOP"
Database Administrator,"SQL MySQL PostgreSQL Oracle Database Backup"
System Administrator,"Linux Windows Server Networking Shell Scripting"
UI UX Designer,"Figma Adobe XD Wireframe Prototype Design"
QA Engineer,"Manual Testing Selenium Automation Java TestNG"
Blockchain Developer,"Solidity Ethereum Smart Contracts Web3 JavaScript"
Game Developer,"Unity C# Unreal Engine Game Design Physics"
Embedded Engineer,"C C++ Microcontroller Arduino Embedded Systems IoT"
IoT Engineer,"Arduino Raspberry Pi Sensors MQTT Embedded C Python"
